Movie Name,Rating,Year,Director,Genre,Summary,Genre List
Munna Bhai M.B.B.S.,8.1,2003,Rajkumar Hirani,Comedy,A gangster sets out to fulfill his father's dream of becoming a doctor.,"Comedy, Drama"
Barfi!,8.1,2012,Anurag Basu,Comedy,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,"Comedy, Drama, Romance"
Lage Raho Munna Bhai,8.0,2006,Rajkumar Hirani,Comedy,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,"Comedy, Drama, Romance"
Badhaai Ho,7.9,2018,Amit Ravindernath Sharma,Comedy,A man is embarrassed when he finds out his mother is pregnant.,"Comedy, Drama"
Bajrangi Bhaijaan,8.1,2015,Kabir Khan,Action,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"Action, Adventure, Comedy"
Ankhon Dekhi,7.9,2013,Rajat Kapoor,Comedy,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.","Comedy, Drama"
Jab We Met,7.9,2007,Imtiaz Ali,Comedy,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Comedy, Drama, Romance"
12th Fail,8.9,2023,Vidhu Vinod Chopra,Biography,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"Biography, Drama"
Dunki,6.6,2023,Rajkumar Hirani,Action,"When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission.","Action, Adventure, Comedy"
Jawan,7.0,2023,Atlee,Action,A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion.,"Action, Crime, Drama"
Pathaan,5.8,2023,Siddharth Anand,Action,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.","Action, Adventure, Thriller"
Animal,6.2,2023,Sandeep Reddy Vanga,Action,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,"Action, Crime, Drama"
Leo,7.2,2023,Lokesh Kanagaraj,Action,"Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.","Action, Crime, Drama"
Tiger 3,5.7,2023,Maneesh Sharma,Action,Tiger and Zoya are back - to save the country and their family. This time it's personal.,"Action, Adventure, Thriller"
Sam Bahadur,7.7,2023,Meghna Gulzar,Biography,Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.,"Biography, Drama, War"
OMG 2,7.5,2023,Amit Rai,Comedy,An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,"Comedy, Drama"
Tu Jhoothi Main Makkaar,6.0,2023,Luv Ranjan,Comedy,"Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.","Comedy, Romance"
Satyaprem Ki Katha,6.7,2023,Sameer Vidwans,Comedy,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complemen... Read all","Comedy, Drama, Musical"
Mission Raniganj,7.1,2023,Tinu Suresh Desai,Action,Mining engineer Jaswant Singh Gill leads a challenging rescue mission to save 65 miners trapped in a flooded coal mine.,"Action, Biography, Drama"
Sirf Ek Bandaa Kaafi Hai,8.0,2023,Apoorv Singh Karki,Crime,A common man with honesty and integrity can take on the system when he has truth on his side.,"Crime, Drama, Thriller"
Gulmohar,7.6,2023,Rahul V. Chittella,Drama,Follows the final four days of the Batra family living in their 31-year-old family home as they move to a new city.,"Drama, Family"
Mrs. Chatterjee vs. Norway,7.3,2023,Ashima Chibber,Biography,An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.,"Biography, Drama"
IB 71,7.2,2023,Sankalp Reddy,Action,A spy action thriller about the two-front war between Indian intelligence agencies and the Pakistani establishment in 1971.,"Action, Thriller"
Rocky Aur Rani Kii Prem Kahaani,6.5,2023,Karan Johar,Comedy,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for t... Read all","Comedy, Drama, Family"
Mission Majnu,7.0,2023,Shantanu Bagchi,Action,"In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan.","Action, Drama, History"
Ponniyin Selvan: Part Two,7.3,2023,Mani Ratnam,Action,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of south India.","Action, Adventure, Drama"
Jailer,7.1,2023,Nelson Dilipkumar,Action,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?","Action, Comedy, Crime"
Laapataa Ladies,8.5,2023,Kiran Rao,Comedy,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming m... Read all","Comedy, Drama"
Merry Christmas,6.9,2024,Sriram Raghavan,Drama,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.,"Drama, Mystery, Thriller"
Fighter,6.2,2024,Siddharth Anand,Action,A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.,"Action, Drama"
Teri Baaton Mein Aisa Uljha Jiya,6.3,2024,Amit Joshi,Comedy,"Aryan is not able to find a perfect life partner. He meets a perfect girl, Sifra, during an official assignment in the US and falls in love with her only to discover later that it's an impos... Read all","Comedy, Drama, Romance"
Indian 2,7.4,2016,Gauri Shinde,Drama,"Kaira is a budding cinematographer in search of a perfect life. Her encounter with Jug, an unconventional thinker, helps her gain a new perspective on life. She discovers that happiness is a... Read all","Drama, Romance"
Dear Zindagi,7.7,2005,Deepa Mehta,Drama,"Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply... Read all",Drama
Water,7.8,2013,Ritesh Batra,Drama,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through ... Read all,"Drama, Romance"
The Lunchbox,8.0,1974,M.S. Sathyu,Drama,"In post-partition India, a Muslim businessman and his family struggle for their rights in a country which was once their own.",Drama
Garm Hava,8.0,2003,Vishal Bhardwaj,Crime,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.,"Crime, Drama, Thriller"
Maqbool,7.8,1974,Shyam Benegal,Drama,"Belonging to a lower caste, Lakshmi and her deaf-mute husband Kishtayya serve the landlord's son, Surya. When Surya's young wife finds out about his affair with Lakshmi, they all find themse... Read all",Drama
Ankur: The Seedling,8.0,1995,Aditya Chopra,Drama,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.","Drama, Romance"
Dilwale Dulhania Le Jayenge,8.3,1983,Shekhar Kapur,Drama,A happy family goes through turbulent times because of a big mistake by one of the family members.,"Drama, Family"
Masoom,7.9,2024,Imtiaz Ali,Biography,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's.","Biography, Drama, Music"
Amar Singh Chamkila,7.2,2024,Pulkit,Crime,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.,"Crime, Drama"
Bhakshak,8.0,2023,Nikhil Nagesh Bhat,Action,"During a train trip to New Delhi, a pair of commandos face an army of invading bandits.","Action, Crime, Drama"
Kill,6.4,TV Series,Manisha Koirala,Drama,Sanjay Leela Bhansali brings his majestic signature flair to stories of love and betrayal in the lives of courtesans in pre-independence India.,"Drama, History, Romance"
Heeramandi: The Diamond Bazaar,6.4,2024,Shirsha Guha Thakurta,Drama,"A couple on the brink of a breakup are cheating on each other with two sexy outsiders. Whilst they're waiting to reveal their secret and go their separate ways, life has other plans for them... Read all",Drama
Do Aur Do Pyaar,8.6,2024,Blessy,Adventure,"The real-life incident of an Indian migrant worker, Najeeb Muhammad, who goes to Saudi Arabia to earn money. However, in a twist of fate, he finds himself living a slave-like existence, herd... Read all","Adventure, Drama"
The Goat Life,6.0,2023,Varun Grover,Comedy,"Set in the late 1990s, A 17-year old Vivek who is sent away from home to a prep school to prepare for the highly competitive IIT (""the MIT of India"") entrance examination.","Comedy, Drama"
All India Rank,7.9,2024,Aditya Suhas Jambhale,Action,"Ahead of a major constitutional decision, special agent Zooni Haksar is tasked with a secret mission to quell violence in a conflict-ridden region.","Action, Drama, Thriller"
Article 370,5.9,2024,Homi Adajania,Comedy,"During a murder investigation, a non-traditional police officer turns a spotlight on an array of suspects. He steps into their world as an outsider, only to find there is so much more than w... Read all","Comedy, Mystery, Romance"
